filename,width,height,class,xmin,ymin,xmax,ymax
hcgnagpur_icu_mon-401_2022_11_9_8_30_1_jpeg_jpg.rf.000a1ff8822a318a594cb7f6faead847.jpg,800,500,HR,90,62,241,164
hcgnagpur_icu_mon-401_2022_11_9_8_30_1_jpeg_jpg.rf.000a1ff8822a318a594cb7f6faead847.jpg,800,500,SBP,14,227,124,278
hcgnagpur_icu_mon-401_2022_11_9_8_30_1_jpeg_jpg.rf.000a1ff8822a318a594cb7f6faead847.jpg,800,500,DBP,181,225,259,275
hcgnagpur_icu_mon-401_2022_11_9_8_30_1_jpeg_jpg.rf.000a1ff8822a318a594cb7f6faead847.jpg,800,500,MAP,96,278,187,304
hcgnagpur_icu_mon-401_2022_11_9_8_30_1_jpeg_jpg.rf.000a1ff8822a318a594cb7f6faead847.jpg,800,500,SPO2,68,343,243,416
hcgnagpur_icu_mon-401_2022_11_9_8_30_1_jpeg_jpg.rf.000a1ff8822a318a594cb7f6faead847.jpg,800,500,RR,192,445,248,484
hcgranchi_sicu_mon-326_2022_11_11_9_31_34_jpeg_jpg.rf.0185d5f38a19831a71e2606d6d3100a7.jpg,800,500,HR,601,56,651,106
hcgranchi_sicu_mon-326_2022_11_11_9_31_34_jpeg_jpg.rf.0185d5f38a19831a71e2606d6d3100a7.jpg,800,500,SBP,600,122,632,155
hcgranchi_sicu_mon-326_2022_11_11_9_31_34_jpeg_jpg.rf.0185d5f38a19831a71e2606d6d3100a7.jpg,800,500,DBP,682,124,714,157
hcgranchi_sicu_mon-326_2022_11_11_9_31_34_jpeg_jpg.rf.0185d5f38a19831a71e2606d6d3100a7.jpg,800,500,MAP,769,126,786,146
hcgranchi_sicu_mon-326_2022_11_11_9_31_34_jpeg_jpg.rf.0185d5f38a19831a71e2606d6d3100a7.jpg,800,500,SPO2,597,242,648,287
hcgranchi_sicu_mon-326_2022_11_11_9_31_34_jpeg_jpg.rf.0185d5f38a19831a71e2606d6d3100a7.jpg,800,500,RR,599,299,640,349
prashant_icu_mon-16_2022_11_28_23_17_3_jpeg_jpg.rf.02915b773ea776d8dd8031c4ccd7305d.jpg,800,500,HR,604,39,744,124
prashant_icu_mon-16_2022_11_28_23_17_3_jpeg_jpg.rf.02915b773ea776d8dd8031c4ccd7305d.jpg,800,500,SPO2,626,196,759,289
prashant_icu_mon-16_2022_11_28_23_17_3_jpeg_jpg.rf.02915b773ea776d8dd8031c4ccd7305d.jpg,800,500,RR,615,399,746,485
prashant_icu_mon-2_2022_11_26_8_15_20_jpeg_jpg.rf.00feb40764d774c1d222b5a676fecf04.jpg,800,500,HR,610,46,746,132
prashant_icu_mon-2_2022_11_26_8_15_20_jpeg_jpg.rf.00feb40764d774c1d222b5a676fecf04.jpg,800,500,SBP,56,433,161,489
prashant_icu_mon-2_2022_11_26_8_15_20_jpeg_jpg.rf.00feb40764d774c1d222b5a676fecf04.jpg,800,500,DBP,199,440,274,494
prashant_icu_mon-2_2022_11_26_8_15_20_jpeg_jpg.rf.00feb40764d774c1d222b5a676fecf04.jpg,800,500,MAP,394,447,477,491
prashant_icu_mon-2_2022_11_26_8_15_20_jpeg_jpg.rf.00feb40764d774c1d222b5a676fecf04.jpg,800,500,RR,617,420,757,496
hcgranchi_sicu_mon-326_2022_11_19_2_30_34_jpeg_jpg.rf.01ec2f45ae11d1627437b15b9458f05d.jpg,800,500,HR,560,63,623,115
hcgranchi_sicu_mon-326_2022_11_19_2_30_34_jpeg_jpg.rf.01ec2f45ae11d1627437b15b9458f05d.jpg,800,500,SBP,561,141,609,175
hcgranchi_sicu_mon-326_2022_11_19_2_30_34_jpeg_jpg.rf.01ec2f45ae11d1627437b15b9458f05d.jpg,800,500,DBP,650,139,690,170
hcgranchi_sicu_mon-326_2022_11_19_2_30_34_jpeg_jpg.rf.01ec2f45ae11d1627437b15b9458f05d.jpg,800,500,MAP,747,140,767,158
hcgranchi_sicu_mon-326_2022_11_19_2_30_34_jpeg_jpg.rf.01ec2f45ae11d1627437b15b9458f05d.jpg,800,500,SPO2,566,274,638,326
hcgranchi_sicu_mon-326_2022_11_19_2_30_34_jpeg_jpg.rf.01ec2f45ae11d1627437b15b9458f05d.jpg,800,500,RR,569,345,624,400
hcgnagpur_icu_mon-401_2022_10_18_4_30_1_jpeg_jpg.rf.01318169370fa45294b078ee6bdcda3d.jpg,800,500,HR,9,46,222,148
hcgnagpur_icu_mon-401_2022_10_18_4_30_1_jpeg_jpg.rf.01318169370fa45294b078ee6bdcda3d.jpg,800,500,SBP,1,211,109,262
hcgnagpur_icu_mon-401_2022_10_18_4_30_1_jpeg_jpg.rf.01318169370fa45294b078ee6bdcda3d.jpg,800,500,DBP,131,211,241,262
hcgnagpur_icu_mon-401_2022_10_18_4_30_1_jpeg_jpg.rf.01318169370fa45294b078ee6bdcda3d.jpg,800,500,MAP,81,263,168,290
hcgnagpur_icu_mon-401_2022_10_18_4_30_1_jpeg_jpg.rf.01318169370fa45294b078ee6bdcda3d.jpg,800,500,SPO2,53,327,226,404
hcgnagpur_icu_mon-401_2022_10_18_4_30_1_jpeg_jpg.rf.01318169370fa45294b078ee6bdcda3d.jpg,800,500,RR,177,430,234,471
aveksha_micu_mon-125_2021_11_19_19_30_16_jpeg_jpg.rf.00f321041e4486ace5668a4a47726819.jpg,800,500,HR,0,42,114,147
aveksha_micu_mon-125_2021_11_19_19_30_16_jpeg_jpg.rf.00f321041e4486ace5668a4a47726819.jpg,800,500,SBP,431,280,527,367
aveksha_micu_mon-125_2021_11_19_19_30_16_jpeg_jpg.rf.00f321041e4486ace5668a4a47726819.jpg,800,500,DBP,601,276,743,366
aveksha_micu_mon-125_2021_11_19_19_30_16_jpeg_jpg.rf.00f321041e4486ace5668a4a47726819.jpg,800,500,MAP,567,392,667,442
aveksha_micu_mon-125_2021_11_19_19_30_16_jpeg_jpg.rf.00f321041e4486ace5668a4a47726819.jpg,800,500,SPO2,38,268,198,377
aveksha_micu_mon-125_2021_11_19_19_30_16_jpeg_jpg.rf.00f321041e4486ace5668a4a47726819.jpg,800,500,RR,450,37,541,143
prashant_icu_mon-1_2022_11_27_4_15_1_jpeg_jpg.rf.010e6cec776b38bed35fd4dc85cefcca.jpg,800,500,HR,533,54,724,148
prashant_icu_mon-1_2022_11_27_4_15_1_jpeg_jpg.rf.010e6cec776b38bed35fd4dc85cefcca.jpg,800,500,SBP,109,384,175,434
prashant_icu_mon-1_2022_11_27_4_15_1_jpeg_jpg.rf.010e6cec776b38bed35fd4dc85cefcca.jpg,800,500,DBP,212,388,284,438
prashant_icu_mon-1_2022_11_27_4_15_1_jpeg_jpg.rf.010e6cec776b38bed35fd4dc85cefcca.jpg,800,500,MAP,397,401,455,436
prashant_icu_mon-1_2022_11_27_4_15_1_jpeg_jpg.rf.010e6cec776b38bed35fd4dc85cefcca.jpg,800,500,SPO2,605,195,738,288
prashant_icu_mon-1_2022_11_27_4_15_1_jpeg_jpg.rf.010e6cec776b38bed35fd4dc85cefcca.jpg,800,500,RR,587,377,727,462
lifecarehospital_icu_mon-214_2022_9_9_11_31_2_jpeg_jpg.rf.02203a1793c47295802772adf5a0c1f8.jpg,800,500,HR,108,39,206,118
lifecarehospital_icu_mon-214_2022_9_9_11_31_2_jpeg_jpg.rf.02203a1793c47295802772adf5a0c1f8.jpg,800,500,SBP,474,66,581,136
lifecarehospital_icu_mon-214_2022_9_9_11_31_2_jpeg_jpg.rf.02203a1793c47295802772adf5a0c1f8.jpg,800,500,DBP,609,68,735,138
lifecarehospital_icu_mon-214_2022_9_9_11_31_2_jpeg_jpg.rf.02203a1793c47295802772adf5a0c1f8.jpg,800,500,MAP,571,152,673,193
lifecarehospital_icu_mon-214_2022_9_9_11_31_2_jpeg_jpg.rf.02203a1793c47295802772adf5a0c1f8.jpg,800,500,SPO2,101,209,244,297
lifecarehospital_icu_mon-214_2022_9_9_11_31_2_jpeg_jpg.rf.02203a1793c47295802772adf5a0c1f8.jpg,800,500,RR,476,221,552,300
prashant_icu_mon-16_2022_11_28_17_16_38_jpeg_jpg.rf.03708ef147c3e41207b474974fbb6e68.jpg,800,500,HR,563,45,759,127
