,m00,m10,m01,m20,m11,m02,m30,m21,m12,m03,mu20,mu11,mu02,mu30,mu21,mu12,mu03,nu20,nu11,nu02,nu30,nu21,nu12,nu03
0,1886.5,63817.83333333333,85463.83333333333,2325466.083333333,2853039.125,4377788.75,89935040.15,102751406.31666666,144662686.05,244214852.95000002,166592.05663780682,-38090.83614203194,506033.2196380724,-3626.7669486403465,-21716.664218745194,19052.29813053459,39032.33664292097,0.04681021875275778,-0.010703033555558614,0.14218880651026664,-2.3462680431536758e-05,-0.00014049183744613852,0.00012325522672215888,0.00025251229376410477
1,1915.0,64122.166666666664,84483.0,2340362.0,2807498.583333333,4188288.1666666665,91340553.95,101823444.75,138238416.81666666,225476546.5,193285.1028575576,-21343.717711053323,461198.1985204527,31519.28495271504,4336.657419776544,-119676.79391398653,11291.149761497974,0.05270609326058739,-0.005820127674482292,0.12576217671957754,0.000196405846170894,2.7022975659577248e-05,-0.0007457409649666404,7.035844329832335e-05
2,1858.5,60990.5,80156.83333333333,2182885.083333333,2619846.875,3889328.4166666665,83555759.15,93456997.98333333,126647747.88333333,205035570.45000002,181356.3826338444,-10664.474699578248,432175.91194362286,16730.04851999879,9436.766093549319,-68649.07902611792,10036.545216739178,0.05250585245472706,-0.0030875524034560714,0.12512250375446274,0.00011235458163042266,6.337482554921893e-05,-0.00046102906061947635,6.740278353010011e-05
3,1852.0,60380.166666666664,83627.5,2123814.5,2707456.5,4274209.833333333,79373016.95,94625382.5,137617095.9,238093256.75,155259.14001379884,-19024.271013319027,497990.2025287971,7239.962852939963,-35481.317363887094,-15516.22561529465,116564.43842479587,0.045266322326747,-0.0055465899375956385,0.1451907116143184,4.9049420649091085e-05,-0.0002403794185019183,-0.00010511958314561542,0.0007897026944967255
4,9935.0,555154.6666666666,824815.0,35794760.5,46435873.166666664,81819004.5,2533528532.4,3009213817.5,4629458404.633333,9010702127.5,4773451.599972043,346301.31093776226,13341925.061147451,-103696.83548641205,-1209630.8630866408,19934.400997638702,2671726.3637981415,0.04836116792337961,0.0035084750519824488,0.13517075952065327,-1.0540126534470799e-05,-0.00012295131569955162,2.026205601341854e-06,0.0002715640627587326
5,1961.0,64884.5,91378.0,2320306.6666666665,3001101.5,4820981.166666666,88259731.05000001,106697884.25,157345697.18333334,276989390.0,173443.668069012,-22363.997705252375,562980.7158762533,9068.492641031742,56971.976438661106,-84082.39033429697,-124185.09349679947,0.04510277490852658,-0.0058155963015810806,0.14639907463156576,5.325263729574221e-05,0.0003345548281731215,-0.0004937544984236664,-0.0007292483991882581
6,8267.5,495942.1666666666,597800.8333333333,33771379.25,34617000.041666664,51211923.25,2508372944.05,2293010689.8166666,2891789298.1833334,4857759481.45,4021317.843525525,-1243252.8181424886,7986542.381051987,77429.696996212,250403.66269141436,-465559.3083932996,-208922.19589424133,0.05883286444594339,-0.01818909307046668,0.1168450700938062,1.245868056305888e-05,4.029073296573661e-05,-7.49099496891289e-05,-3.361623514175062e-05
7,1431.0,42801.33333333333,60244.0,1373033.8333333333,1811259.0,2835476.1666666665,46626092.6,58347552.833333336,85560804.36666666,144587837.0,92842.26442270377,9355.76776147238,299250.075821104,4692.046261586249,-15779.748378328048,-36273.421080715954,20073.67351514101,0.04533842788426176,0.004568779150238909,0.14613525495460844,6.057078483953717e-05,-0.00020370467181255315,-0.00046826255778032263,0.00025913601265595103
8,1685.0,54965.666666666664,73130.16666666666,1931785.1666666665,2376033.9166666665,3557461.0,72069403.9,83214666.21666667,115200346.55,187703500.15,138773.58677876694,-9514.074002637062,383561.13252555346,-284.50869435071945,-5438.44920030795,-20237.34951510094,13592.175480782986,0.04887727699592914,-0.003350940486448612,0.13509360213634122,-2.4411573831652935e-06,-4.6663285452835465e-05,-0.0001736416361448193,0.0001166243429007102
9,5418.0,290775.0,315893.6666666666,17662733.333333332,17014836.583333332,21083567.333333332,1168656468.5,1036467750.4666667,1138803555.0,1540025130.9,2057325.3183831666,61351.731912147254,2665551.711312093,-99312.95177745819,65997.84287013113,129590.723485291,-68482.77519202232,0.07008498251876483,0.002090012221274751,0.09080486368436277,-4.5963002236925834e-05,3.0544445061602174e-05,5.9975850146780475e-05,-3.169449596458639e-05
10,6593.5,371807.0,421836.8333333333,23903432.083333332,24037927.125,31101053.583333332,1679106632.6000001,1558957065.1333332,1786315924.0333333,2514611746.65,2937261.574650537,250577.84295455366,4112911.631912321,-70162.90771198273,1410801.7007797062,466927.717369467,-1430597.1878857613,0.0675632609709382,0.005763823128039769,0.0946057117743627,-1.9875476648069137e-05,0.00039964643959752,0.00013226947464904052,-0.0004052540284866326
11,11532.5,703504.1666666666,996956.6666666666,49702528.416666664,61355055.875,103258301.25,3859755811.05,4361577643.1,6392731613.6,11880019385.300001,6787452.5426271185,538826.1775266826,17073814.346803725,-286514.94820261,-824262.5738309622,620807.4420682192,1609855.986114502,0.05103403175195835,0.004051368621730303,0.12837593751551515,-2.006035558377587e-05,-5.771077714854385e-05,4.3465857942379315e-05,0.0001127141314012351
12,10740.5,638608.3333333333,915569.3333333333,43689924.25,54781687.541666664,93266919.91666666,3277542266.2000003,3765104051.8166666,5605140321.65,10545254048.7,5719568.735566065,343793.0292034671,15219603.298218325,-319865.3546433449,-107344.8351482153,1065558.6295735836,-21849.149353027344,0.04958088616021038,0.0029802182352694443,0.1319332721434359,-2.675506156078746e-05,-8.978833221326607e-06,8.91283982995209e-05,-1.8275669043397876e-06
13,1547.5,49257.0,62578.166666666664,1694908.75,1991378.7916666665,2825396.9166666665,62017075.6,68520739.6,89980106.36666666,138075615.05,127056.05274636508,-487.2862008619122,294846.3878388079,-20352.69014889747,12644.136672061868,86995.56210045703,-24580.070604771376,0.0530559436879495,-0.00020348050072399322,0.12312166962245445,-0.00021604547604081088,0.00013421854833222923,0.0009234650304175791,-0.00026091946647221207
14,1980.0,68070.83333333333,89241.5,2534430.1666666665,3044604.0,4542136.5,100477253.55000001,112608557.83333333,154070232.1,251621580.75,194208.77742704842,-23448.15803872049,519891.38775252504,-7938.424925729632,-9663.58228715323,28858.82852269709,36303.46465456486,0.04953800056806663,-0.005981062656545375,0.13261182219990944,-4.550628331379188e-05,-5.539558760076292e-05,0.00016543055318209594,0.0002081062381138557
15,5338.0,284005.3333333333,307020.0,17113659.0,16355297.5,20237489.666666664,1123491842.8,986427262.0,1079414044.4333334,1460710291.0,2003312.5478123333,20468.455414013937,2578950.813163478,-201174.1862461567,-58666.659676119685,335091.8342372775,70906.44119501114,0.07030586766268772,0.0007183364968031417,0.09050778161243646,-9.663308168064536e-05,-2.8180256235640183e-05,0.00016095979903080993,3.405957817717923e-05
16,1909.5,63862.83333333333,82774.16666666666,2327680.9166666665,2749061.625,4045711.583333333,90700818.25,99620802.18333334,133555628.91666667,215035328.05,191801.63865613425,-19303.292590409983,457566.693382503,22478.056557878852,10264.226792759262,-78818.13489901088,-10395.1039224267,0.05260329974721815,-0.005294099119048982,0.12549172204673167,0.000141078100250853,6.44209437207248e-05,-0.0004946830126633158,-6.524236245735909e-05
